Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,0.99896478653,0.00029342083144,131.512371814,0.00429,4.65,17.97,0.7,4663.0
1.0,0.999577045441,0.000293552293442,131.573675252,0.00429,4.65,17.97,0.7,4663.0
1.0,0.99941945076,0.000293848512229,131.634978689,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00003576279,0.000293789693387,131.696282226,0.00429,4.65,17.97,0.7,4663.0
1.0,0.999954283237,0.000293911492918,131.757585663,0.00429,4.65,17.97,0.7,4663.0
1.0,0.999594032764,0.00029393445584,131.818889098,0.00429,4.65,17.97,0.7,4663.0
1.0,0.999743103981,0.000293957768008,131.880192433,0.00429,4.65,17.97,0.7,4663.0
1.0,0.999878168106,0.000293922465062,131.941495868,0.00429,4.65,17.97,0.7,4663.0
1.0,0.99988257885,0.00029394341982,132.002799302,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00059115887,0.000294073863188,132.064102735,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00104856491,0.000294328317977,132.125406167,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00052857399,0.000294078199659,132.186709599,0.00429,4.65,17.97,0.7,4663.0
1.0,1.0005095005,0.000294017023407,132.24801293,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00111663342,0.000294137047604,132.309316361,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00086081028,0.000294078519801,132.37061979,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00072467327,0.000294123252388,132.43192322,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00123274326,0.000294126512017,132.493226648,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00208938122,0.000294203055091,132.554530076,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00141692162,0.000294197612675,132.615833503,0.00429,4.65,17.97,0.7,4663.0
1.0,1.0022495985,0.000294311379548,132.67713683,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00173640251,0.000294119265163,132.738440255,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00275051594,0.000294356228551,132.799743681,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00267207623,0.000294586352538,132.861047105,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00248134136,0.000294437777484,132.922350529,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00265228748,0.000294483674224,132.983654052,0.00429,4.65,17.97,0.7,4663.0
1.0,1.00309073925,0.000294480210869,133.044957374,0.00429,4.65,17.97,0.7,4663.0
