Q,nflux,nflux_err,time,ampl,logg,prot,rstar,teff
1.0,0.999263525009,0.000190276376088,131.512855018,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999613165855,0.000190354941878,131.574158541,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999502003193,0.000190431645024,131.635462063,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998878538609,0.000190350998309,131.696765684,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998806834221,0.000190334569197,131.758069204,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998860239983,0.000190304635908,131.819372723,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998680770397,0.000190380334971,131.880676141,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998967170715,0.000190294464119,131.941979657,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.99840182066,0.000190361810382,132.003283172,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998416483402,0.000190425809706,132.064586686,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998317658901,0.000190311024198,132.125890199,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998319685459,0.000190368518815,132.187193711,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998443484306,0.000190347636817,132.248497122,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998571395874,0.000190239370568,132.309800631,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998580038548,0.00019019152387,132.37110414,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998586535454,0.000190268023289,132.432407647,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998707354069,0.000190370425116,132.493711153,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998349606991,0.000190248450963,132.555014658,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998638689518,0.000190396312973,132.616318161,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998582601547,0.000190253194887,132.677621564,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999026536942,0.000190518054296,132.738925065,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999226987362,0.000190423015738,132.800228565,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999413609505,0.000190298509551,132.861532064,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999491751194,0.000190597042092,132.922835562,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999235808849,0.000190510880202,132.984139159,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999661147594,0.000190482838661,133.045442554,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999581456184,0.000190556340385,133.106746048,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00002539158,0.000190562263015,133.168049541,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.9999589324,0.000190599545022,133.229353033,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00043690205,0.000190589445992,133.290656524,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00020074844,0.000190573278815,133.351960013,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00061190128,0.000190701859538,133.413263501,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00081503391,0.000190666120034,133.474566888,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00104665756,0.000190698192455,133.535870374,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00041866302,0.00019067566609,133.597173859,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00108659267,0.000190769656911,133.658477442,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00161480904,0.000190786158782,133.719780924,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00145924091,0.000190757578821,133.781084405,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.0020815134,0.000190765960724,133.842387785,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00167703629,0.000190824168385,133.903691263,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.0023702383,0.000190844744793,133.96499474,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00189971924,0.000190846782061,134.026298216,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00260329247,0.000190846767509,134.087601691,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00278007984,0.000190914492123,134.148905165,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00255632401,0.00019092625007,134.210208637,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00308549404,0.000190831036889,134.271512008,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00293850899,0.000190915394342,134.332815478,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00323593616,0.000190967795788,134.414553436,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00321269035,0.000190956314327,134.475856902,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00351238251,0.000190878054127,134.537160368,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00366640091,0.000190903330804,134.598463833,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00365841389,0.000190984937944,134.659767296,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00386440754,0.000190992606804,134.721070757,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00376081467,0.000191010796698,134.782374118,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00396311283,0.000190971550182,134.843677577,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00417888165,0.000191070314031,134.904981136,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00355112553,0.00019095922471,134.966284592,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00388383865,0.000191001206986,135.027588048,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00411570072,0.00019108732522,135.088891502,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00376009941,0.000191040948266,135.150194955,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00427603722,0.000191046274267,135.211498307,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00385010242,0.000190998587641,135.272801757,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00402009487,0.000190978273167,135.334105206,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00360560417,0.00019092427101,135.395408654,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00417435169,0.000190964346984,135.456712101,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00377094746,0.000190896360436,135.518015546,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00406169891,0.000190974271391,135.57931889,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00437545776,0.00019107494154,135.640622332,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00380039215,0.000191004350199,135.701925774,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00378274918,0.000190979786566,135.763229214,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00373923779,0.00019104166131,135.824532653,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00371015072,0.000191030732822,135.88583609,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00342059135,0.000190986960661,135.947139426,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00353121758,0.000190996172023,136.008442861,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00385868549,0.000190969323739,136.069746294,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00354385376,0.000191007638932,136.131049827,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00337064266,0.000190948689124,136.192353257,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00310206413,0.000190873965039,136.253656687,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00287783146,0.000190907740034,136.314960115,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00297212601,0.000190913371625,136.376263442,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.003038764,0.000190930877579,136.437566867,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00256872177,0.000190914113773,136.498870292,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00242769718,0.00019087032706,136.560173714,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00255465508,0.000190932521946,136.621477136,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00191295147,0.000190828621271,136.682780556,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00209951401,0.000190900071175,136.744083875,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00223147869,0.000190700578969,136.805387293,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00183022022,0.000190775535884,136.866690809,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00168097019,0.000190862614545,136.927994223,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00120151043,0.000190819380805,136.989297637,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00096940994,0.000190747276065,137.050601049,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00068414211,0.000190765858861,137.111904459,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00069892406,0.000190796781681,137.173207769,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00033462048,0.000190712074982,137.234511177,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.00014388561,0.000190601116628,137.295814583,0.0054225452,4.53,11.360837449,0.79,5179
1.0,1.0004991293,0.000190700695384,137.357117989,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999620676041,0.000190637787455,137.43885586,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999558866024,0.000190623701201,137.500159262,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.999395728111,0.000190604652744,137.561462663,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998477518559,0.000190625956748,137.622766062,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998501300812,0.000190508217202,137.68406936,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998343884945,0.000190444159671,137.745372756,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.998292088509,0.000190596096218,137.806676152,0.0054225452,4.53,11.360837449,0.79,5179
1.0,0.997287333012,0.000190565784578,137.867979545,0.0054225452,4.53,11.360837449,0.79,5179
